1995,22130
1996,21772
1997,21121
1998,20768
1999,20514
2000,20023
2001,20499
2002,21080
2003,21395
2004,20877
2005,21338
2006,21265
2007,20236
2008,20958
2009,22609
2010,22346
2011,21584
2012,20404
2013,19033
2014,19520
