NASA Johnson Space Center,Application,MSC-24798-1,0,03/08/2033,2013
NASA Johnson Space Center,Application,MSC-25286-1,0,03/11/2033,2013
NASA Johnson Space Center,Application,MSC-25313-1,0,02/22/2033,2013
NASA Johnson Space Center,Application,MSC-25386-1,0,07/26/2033,2013
NASA Johnson Space Center,Application,MSC-25632-1,0,03/14/2033,2013
NASA Johnson Space Center,Application,MSC-25758-1,0,03/11/2033,2013
NASA Johnson Space Center,Application,MSC-25759-1,0,03/11/2033,2013
NASA Johnson Space Center,Application,MSC-25760-1,0,03/11/2033,2013
NASA Jet Propulsion Laboratory,Application,NPO-48413-1,,02/04/2033,2013
NASA Jet Propulsion Laboratory,Application,NPO-48539-1,,04/08/2033,2013
NASA Jet Propulsion Laboratory,Application,NPO-49086-1,,12/10/2033,2013
NASA Armstrong Flight Research Center,Issued,DRC-009-026,8447443,02/07/2032,2012
NASA Armstrong Flight Research Center,Application,DRC-011-015,,05/31/2032,2012
NASA Armstrong Flight Research Center,Application,DRC-012-011,,07/05/2032,2012
NASA Goddard Space Flight Center,Application,GSC-15829-1,0,08/31/2032,2012
NASA Goddard Space Flight Center,Application,GSC-15949-1,0,08/31/2032,2012
NASA Goddard Space Flight Center,Application,GSC-16008-1,,08/31/2032,2012
NASA Goddard Space Flight Center,Application,GSC-16146-1,,08/31/2032,2012
NASA Goddard Space Flight Center,Application,GSC-16182-1,,08/27/2032,2012
NASA Goddard Space Flight Center,Application,GSC-16193-1,,12/19/2032,2012
NASA Goddard Space Flight Center,Application,GSC-16299-1,,09/19/2032,2012
NASA Goddard Space Flight Center,Application,GSC-16460-1,,08/23/2032,2012
NASA Langley Research Center,Issued,LAR-17243-1,8411214,02/01/2032,2012
NASA Langley Research Center,Issued,LAR-17638-1,8508413,03/02/2032,2012
NASA Langley Research Center,Application,LAR-17694-1,0,03/09/2032,2012
NASA Langley Research Center,Issued,LAR-17695-1,8658004,08/01/2032,2012
NASA Langley Research Center,Application,LAR-17801-1,0,08/03/2032,2012
NASA Langley Research Center,Application,LAR-17813-1,0,08/17/2032,2012
NASA Langley Research Center,Issued,LAR-17908-1,8655094,04/23/2032,2012
NASA Langley Research Center,Application,LAR-18097-1,,08/22/2032,2012
NASA Langley Research Center,Application,LAR-17923-1,,11/14/2032,2012
NASA Langley Research Center,Application,LAR-17958-1,,07/16/2032,2012
NASA Langley Research Center,Issued,LAR-17993-1,8662213,05/06/2032,2012
NASA Langley Research Center,Issued,LAR-18006-1,8671551,02/01/2032,2012
NASA Langley Research Center,Application,LAR-18006-2,,02/01/2032,2012
NASA Langley Research Center,Application,LAR-18021-1,,07/31/2032,2012
NASA Langley Research Center,Application,LAR-18023-1,,03/12/2032,2012
NASA Langley Research Center,Application,LAR-18077-1,,09/28/2032,2012
NASA Langley Research Center,Application,LAR-18132-1,,11/09/2032,2012
NASA Langley Research Center,Application,LAR-18143-1,,11/15/2032,2012
NASA Langley Research Center,Application,LAR-18166-1,,03/12/2032,2012
NASA Langley Research Center,Application,LAR-18202-1,,12/13/2032,2012
NASA Glenn Research Center,Issued,LEW-17820-2,8264134,09/11/2032,2012
NASA Glenn Research Center,Issued,LEW-18340-2,8668613,01/10/2032,2012
NASA Glenn Research Center,Issued,LEW-18356-2,8573835,06/08/2032,2012
NASA Glenn Research Center,Application,LEW-18565-1,0,10/05/2032,2012
NASA Glenn Research Center,Application,LEW-18732-1,,08/16/2032,2012
NASA Glenn Research Center,Application,LEW-18768-1,,03/23/2032,2012
NASA Glenn Research Center,Application,LEW-18789-1,,02/27/2032,2012
NASA Glenn Research Center,Application,LEW-18809-1,,08/03/2032,2012
NASA Glenn Research Center,Application,LEW-18816-1,,06/01/2032,2012
NASA Glenn Research Center,Application,LEW-18821-1,,07/30/2032,2012
NASA Glenn Research Center,Application,LEW-18864-1,,02/03/2032,2012
NASA Glenn Research Center,Application,LEW-18889-1,,12/13/2032,2012
NASA Glenn Research Center,Application,LEW-18919-1,,04/04/2032,2012
NASA Glenn Research Center,Application,LEW-18960-1,,05/11/2032,2012
NASA Marshall Space Flight Center,Issued,MFS-32341-1,8550468,01/09/2032,2012
NASA Marshall Space Flight Center,Issued,MFS-32715-1,8535440,07/18/2032,2012
NASA Marshall Space Flight Center,Issued,MFS-32719-1,8564770,05/18/2032,2012
NASA Marshall Space Flight Center,Issued,MFS-32857-1,8668168,01/21/2032,2012
NASA Marshall Space Flight Center,Issued,MFS-32865-2,8555731,06/04/2032,2012
NASA Marshall Space Flight Center,Application,MFS-32865-4,,08/23/2032,2012
NASA Marshall Space Flight Center,Issued,MFS-32871-1,8577519,06/13/2032,2012
NASA Marshall Space Flight Center,Application,MFS-32873-1,,11/29/2032,2012
NASA Marshall Space Flight Center,Application,MFS-32924-1,,07/09/2032,2012
NASA Marshall Space Flight Center,Issued,MFS-32940-1,8657179,03/26/2032,2012
NASA Johnson Space Center,Issued,MSC-23988-2,8580546,11/29/2032,2012
NASA Johnson Space Center,Issued,MSC-24509-1,8570047,02/02/2032,2012
NASA Johnson Space Center,Application,MSC-24813-1,0,08/06/2032,2012
NASA Johnson Space Center,Application,MSC-24919-1,0,07/13/2032,2012
NASA Johnson Space Center,Application,MSC-25265-1,0,10/30/2032,2012
NASA Jet Propulsion Laboratory,Issued,NPO-47310-1,8502987,03/24/2032,2012
